[2025-09-15 23:02:07] [INFO    ] discord.client: logging in using static token
[2025-09-15 23:02:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-15 23:02:07] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-15 23:02:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1417246279821693049', 'username': 'Dnd Companion', 'avatar': None, 'discriminator': '9394', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-15 23:02:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-15 23:02:08] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-15 23:02:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1417246279821693049', 'name': 'Dnd Companion', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1417246279821693049', 'username': 'Dnd Companion', 'avatar': None, 'discriminator': '9394', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'e61b547b3418298b09d5f81448948ec7c780e7514a3c85261af849686f12be47', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '392703441517936643', 'username': 'zadukk', 'avatar': 'fa7c64d97701056ffe65f7f31abdaf8f', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 11279388, 'global_name': 'ZaDukk™', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#ac1c1c', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-15 23:02:08] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-15 23:02:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-lcj4",{"micros":0.0}]']}}
[2025-09-15 23:02:08] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-15 23:02:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 23:02:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Dnd Companion', 'primary_guild': None, 'mfa_enabled': False, 'id': '1417246279821693049', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9394', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '97c5255acd0c1ca9a9bca0e0a96cc9a5', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1417247195526201467'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'paris', 'rotterdam', 'frankfurt', 'frankfurt-two'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1417246279821693049', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-lcj4",{"micros":81547,"calls":["id_created",{"micros":421,"calls":[]},"session_lookup_time",{"micros":268,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-149",{"micros":80405,"calls":["start_session",{"micros":72108,"calls":["discord-api-rpc-6949467496-ps5hz",{"micros":36673,"calls":["get_user",{"micros":4921},"get_guilds",{"micros":2440},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":481},"authorized_ip_coro",{"micros":16},"pending_payments",{"micros":26424},"apex_experiments",{"micros":2073},"user_activities",{"micros":5},"played_application_ids",{"micros":8}]}]},"starting_guild_connect",{"micros":34,"calls":[]},"presence_started",{"micros":320,"calls":[]},"guilds_started",{"micros":50,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":7862,"calls":[]},"connect_finished",{"micros":7865,"calls":[]},"build_ready",{"micros":25,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-15 23:02:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 23:02:08] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 97c5255acd0c1ca9a9bca0e0a96cc9a5).
[2025-09-15 23:02:08] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-15 23:02:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'max_stage_video_channel_users': 50, 'incidents_data': None, 'premium_subscription_count': 0, 'discovery_splash': None, 'moderator_reporting': None, 'region': 'deprecated', 'application_id': None, 'mfa_level': 0, 'profile': None, 'splash': None, 'soundboard_sounds': [], 'embedded_activities': [], 'presences': [], 'verification_level': 0, 'preferred_locale': 'en-US', 'large': False, 'joined_at': '2025-09-15T20:34:49.336173+00:00', 'nsfw': False, 'explicit_content_filter': 0, 'hub_type': None, 'afk_channel_id': None, 'id': '1417247195526201467', 'max_video_channel_users': 25, 'premium_features': None, 'system_channel_flags': 0, 'name': 'test', 'inventory_settings': None, 'threads': [], 'members': [{'user': {'username': 'Dnd Companion', 'public_flags': 0, 'primary_guild': None, 'id': '1417246279821693049', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9394', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1417247306914332675'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-15T20:34:49.336173+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_scheduled_events': [], 'stickers': [], 'activity_instances': [], 'roles': [{'version': 1757968462877, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1417247195526201467', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757968489251, 'unicode_emoji': None, 'tags': {'bot_id': '1417246279821693049'}, 'position': 1, 'permissions': '563379718712384', 'name': 'Dnd Companion', 'mentionable': False, 'managed': True, 'id': '1417247306914332675', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'description': None, 'nsfw_level': 0, 'unavailable': False, 'application_command_counts': {}, 'latest_onboarding_question_id': None, 'max_members': 25000000, 'safety_alerts_channel_id': None, 'public_updates_channel_id': None, 'afk_timeout': 300, 'system_channel_id': '1417247196755005582', 'premium_progress_bar_enabled': False, 'channels': [{'version': 1757968462893, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1417247196755005580', 'flags': 0}, {'version': 1757968462897, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1417247196755005581', 'flags': 0}, {'version': 1757968462911, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1417247196755005580', 'name': 'general', 'last_message_id': '1417269244533674074', 'id': '1417247196755005582', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1757968462919, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1417247196755005581', 'name': 'General', 'last_message_id': None, 'id': '1417247196755005583', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'rules_channel_id': None, 'features': [], 'voice_states': [], 'home_header': None, 'banner': None, 'emojis': [], 'owner_id': '392703441517936643', 'stage_instances': [], 'lazy': True, 'vanity_url_code': None, 'owner_configured_content_level': 0, 'member_count': 2, 'version': 1757968462930, 'icon': None, 'premium_tier': 0, 'default_message_notifications': 0}}
[2025-09-15 23:02:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 23:02:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '772c26cc7ec11d5cabe950216aeabf3b', 'members': [{'user': {'username': 'zadukk', 'public_flags': 256, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '392703441517936643', 'global_name': 'ZaDukk™', 'display_name_styles': None, 'display_name': 'ZaDukk™', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fa7c64d97701056ffe65f7f31abdaf8f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-15T20:34:22.725000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Dnd Companion', 'public_flags': 0, 'primary_guild': None, 'id': '1417246279821693049', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9394', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1417247306914332675'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-15T20:34:49.336173+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1417247195526201467', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-15 23:02:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 23:02:08] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1417247195526201467.
[2025-09-15 23:02:10] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-15 23:02:10] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-15 23:02:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-15T22:02:12.072000+00:00', 'pinned': False, 'nonce': '1417269296597303296', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-15T20:34:22.725000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1417269297322918011', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1417247196755005582', 'author': {'username': 'zadukk', 'public_flags': 256, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '392703441517936643', 'global_name': 'ZaDukk™', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'avatar_decoration_data': None, 'avatar': 'fa7c64d97701056ffe65f7f31abdaf8f'}, 'attachments': [], 'guild_id': '1417247195526201467'}}
[2025-09-15 23:02:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 23:02:12] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 23:02:12] [DEBUG   ] discord.client: Dispatching event command
